Seq,MPA_touchi,MPA,Percentage,Area
49972,1,CharlieGibbs,0,0
49973,1,CharlieGibbs,0,0
49974,1,CharlieGibbs,0,0
49975,1,CharlieGibbs,0,0
49976,1,CharlieGibbs,0,0
49977,1,CharlieGibbs,0,0
49978,2,CharlieGibbs,0,0
50685,2,CharlieGibbs,0,0
50686,1,CharlieGibbs,0,0
50687,1,CharlieGibbs,0.999999996,0.249999999
50688,1,CharlieGibbs,1,0.25
50689,1,CharlieGibbs,1,0.25
50690,1,CharlieGibbs,1,0.25
50691,1,CharlieGibbs,1,0.25
50692,1,CharlieGibbs,1,0.25
50693,1,CharlieGibbs,1,0.25
50694,1,CharlieGibbs,1,0.25
50695,1,CharlieGibbs,1,0.25
50696,1,CharlieGibbs,1,0.25
50697,1,CharlieGibbs,0,0
50698,2,CharlieGibbs,0,0
51405,2,CharlieGibbs,0,0
51406,1,CharlieGibbs,0,0
51407,1,CharlieGibbs,0.999999997,0.249999999
51408,1,CharlieGibbs,1,0.25
51409,1,CharlieGibbs,1,0.25
51410,1,CharlieGibbs,1,0.25
51411,1,CharlieGibbs,1,0.25
51412,1,CharlieGibbs,1,0.25
51413,1,CharlieGibbs,1,0.25
51414,1,CharlieGibbs,1,0.25
51415,1,CharlieGibbs,1,0.25
51416,1,CharlieGibbs,0.999999999,0.25
51417,1,CharlieGibbs,0,0
51418,2,CharlieGibbs,0,0
51419,2,CharlieGibbs,0,0
51420,2,CharlieGibbs,0,0
51421,2,CharlieGibbs,0,0
51422,2,CharlieGibbs,0,0
51423,2,CharlieGibbs,0,0
51424,2,CharlieGibbs,0,0
51425,2,CharlieGibbs,0,0
51426,2,CharlieGibbs,0,0
51427,2,CharlieGibbs,0,0
51428,2,CharlieGibbs,0,0
52125,2,CharlieGibbs,0,0
52126,1,CharlieGibbs,0,0
52127,1,CharlieGibbs,0.999999998,0.249999999
52128,1,CharlieGibbs,1,0.25
52129,1,CharlieGibbs,1,0.25
52130,1,CharlieGibbs,1,0.25
52131,1,CharlieGibbs,1,0.25
52132,1,CharlieGibbs,1,0.25
52133,1,CharlieGibbs,1,0.25
52134,1,CharlieGibbs,1,0.25
52135,1,CharlieGibbs,1,0.25
52136,1,CharlieGibbs,0.999999998,0.249999999
52137,1,CharlieGibbs,0,0
52138,1,CharlieGibbs,0,0
52139,1,CharlieGibbs,0,0
52140,1,CharlieGibbs,0,0
52141,1,CharlieGibbs,0,0
52142,1,CharlieGibbs,0,0
52143,1,CharlieGibbs,0,0
52144,1,CharlieGibbs,0,0
52145,1,CharlieGibbs,0,0
52146,1,CharlieGibbs,0,0
52147,1,CharlieGibbs,0,0
52148,2,CharlieGibbs,0,0
52845,2,CharlieGibbs,0,0
52846,1,CharlieGibbs,0,0
52847,1,CharlieGibbs,0.999999999,0.25
52848,1,CharlieGibbs,1,0.25
52849,1,CharlieGibbs,1,0.25
52850,1,CharlieGibbs,1,0.25
52851,1,CharlieGibbs,1,0.25
52852,1,CharlieGibbs,1,0.25
52853,1,CharlieGibbs,1,0.25
52854,1,CharlieGibbs,1,0.25
52855,1,CharlieGibbs,1,0.25
52856,1,CharlieGibbs,1,0.25
52857,1,CharlieGibbs,1,0.25
52858,1,CharlieGibbs,1,0.25
52859,1,CharlieGibbs,1,0.25
52860,1,CharlieGibbs,1,0.25
52861,1,CharlieGibbs,1,0.25
52862,1,CharlieGibbs,1,0.25
52863,1,CharlieGibbs,1,0.25
52864,1,CharlieGibbs,1,0.25
52865,1,CharlieGibbs,1,0.25
52866,1,CharlieGibbs,0.999999999,0.25
52867,1,CharlieGibbs,0,0
52868,2,CharlieGibbs,0,0
53565,2,CharlieGibbs,0,0
53566,1,CharlieGibbs,0,0
53567,1,CharlieGibbs,1,0.25
53568,1,CharlieGibbs,1,0.25
53569,1,CharlieGibbs,1,0.25
53570,1,CharlieGibbs,1,0.25
53571,1,CharlieGibbs,1,0.25
53572,1,CharlieGibbs,1,0.25
53573,1,CharlieGibbs,1,0.25
53574,1,CharlieGibbs,1,0.25
53575,1,CharlieGibbs,1,0.25
53576,1,CharlieGibbs,1,0.25
53577,1,CharlieGibbs,1,0.25
53578,1,CharlieGibbs,1,0.25
53579,1,CharlieGibbs,1,0.25
53580,1,CharlieGibbs,1,0.25
53581,1,CharlieGibbs,1,0.25
53582,1,CharlieGibbs,1,0.25
53583,1,CharlieGibbs,1,0.25
53584,1,CharlieGibbs,1,0.25
53585,1,CharlieGibbs,1,0.25
53586,1,CharlieGibbs,1,0.25
53587,1,CharlieGibbs,0,0
53588,2,CharlieGibbs,0,0
54285,2,CharlieGibbs,0,0
54286,1,CharlieGibbs,0,0
54287,1,CharlieGibbs,1,0.250000001
54288,1,CharlieGibbs,1,0.25
54289,1,CharlieGibbs,1,0.25
54290,1,CharlieGibbs,1,0.25
54291,1,CharlieGibbs,1,0.25
54292,1,CharlieGibbs,1,0.25
54293,1,CharlieGibbs,1,0.25
54294,1,CharlieGibbs,1,0.250000001
54295,1,CharlieGibbs,1,0.25
54296,1,CharlieGibbs,1,0.25
54297,1,CharlieGibbs,1,0.25
54298,1,CharlieGibbs,1,0.25
54299,1,CharlieGibbs,1,0.25
54300,1,CharlieGibbs,1,0.25
54301,1,CharlieGibbs,1,0.25
54302,1,CharlieGibbs,1,0.25
54303,1,CharlieGibbs,1,0.250000001
54304,1,CharlieGibbs,1,0.25
54305,1,CharlieGibbs,1,0.25
54306,1,CharlieGibbs,1,0.250000001
54307,1,CharlieGibbs,0,0
54308,2,CharlieGibbs,0,0
55005,2,CharlieGibbs,0,0
55006,1,CharlieGibbs,0,0
55007,1,CharlieGibbs,1,0.25
55008,1,CharlieGibbs,1,0.25
55009,1,CharlieGibbs,1,0.25
55010,1,CharlieGibbs,1,0.25
55011,1,CharlieGibbs,1,0.25
55012,1,CharlieGibbs,1,0.25
55013,1,CharlieGibbs,1,0.25
55014,1,CharlieGibbs,1,0.25
55015,1,CharlieGibbs,1,0.25
55016,1,CharlieGibbs,1,0.25
55017,1,CharlieGibbs,1,0.25
55018,1,CharlieGibbs,1,0.25
55019,1,CharlieGibbs,1,0.25
55020,1,CharlieGibbs,1,0.25
55021,1,CharlieGibbs,1,0.25
55022,1,CharlieGibbs,1,0.25
55023,1,CharlieGibbs,1,0.25
55024,1,CharlieGibbs,1,0.25
55025,1,CharlieGibbs,1,0.25
55026,1,CharlieGibbs,1,0.25
55027,1,CharlieGibbs,0,0
55028,2,CharlieGibbs,0,0
55725,2,CharlieGibbs,0,0
55726,1,CharlieGibbs,0,0
55727,1,CharlieGibbs,1,0.25
55728,1,CharlieGibbs,1,0.25
55729,1,CharlieGibbs,1,0.25
55730,1,CharlieGibbs,1,0.25
55731,1,CharlieGibbs,1,0.25
55732,1,CharlieGibbs,1,0.25
55733,1,CharlieGibbs,1,0.25
55734,1,CharlieGibbs,1,0.25
55735,1,CharlieGibbs,1,0.25
55736,1,CharlieGibbs,1,0.25
55737,1,CharlieGibbs,0.999999998,0.249999999
55738,1,CharlieGibbs,1,0.25
55739,1,CharlieGibbs,1,0.25
55740,1,CharlieGibbs,1,0.25
55741,1,CharlieGibbs,1,0.25
55742,1,CharlieGibbs,1,0.25
55743,1,CharlieGibbs,1,0.25
55744,1,CharlieGibbs,1,0.25
55745,1,CharlieGibbs,1,0.25
55746,1,CharlieGibbs,1,0.25
55747,1,CharlieGibbs,0,0
55748,2,CharlieGibbs,0,0
56445,2,CharlieGibbs,0,0
56446,1,CharlieGibbs,0,0
56447,1,CharlieGibbs,0,0
56448,1,CharlieGibbs,0,0
56449,1,CharlieGibbs,0,0
56450,1,CharlieGibbs,0,0
56451,1,CharlieGibbs,0,0
56452,1,CharlieGibbs,0,0
56453,1,CharlieGibbs,0,0
56454,1,CharlieGibbs,0,0
56455,1,CharlieGibbs,0,0
56456,1,CharlieGibbs,0,0
56457,1,CharlieGibbs,0.999999996,0.249999999
56458,1,CharlieGibbs,1,0.25
56459,1,CharlieGibbs,1,0.25
56460,1,CharlieGibbs,1,0.25
56461,1,CharlieGibbs,1,0.25
56462,1,CharlieGibbs,1,0.25
56463,1,CharlieGibbs,1,0.25
56464,1,CharlieGibbs,1,0.25
56465,1,CharlieGibbs,1,0.25
56466,1,CharlieGibbs,1,0.25
56467,1,CharlieGibbs,0,0
56468,2,CharlieGibbs,0,0
57165,2,CharlieGibbs,0,0
57166,2,CharlieGibbs,0,0
57167,2,CharlieGibbs,0,0
57168,2,CharlieGibbs,0,0
57169,2,CharlieGibbs,0,0
57170,2,CharlieGibbs,0,0
57171,2,CharlieGibbs,0,0
57172,2,CharlieGibbs,0,0
57173,2,CharlieGibbs,0,0
57174,2,CharlieGibbs,0,0
57175,2,CharlieGibbs,0,0
57176,1,CharlieGibbs,0,0
57177,1,CharlieGibbs,0.999999997,0.249999999
57178,1,CharlieGibbs,1,0.25
57179,1,CharlieGibbs,1,0.25
57180,1,CharlieGibbs,1,0.25
57181,1,CharlieGibbs,1,0.25
57182,1,CharlieGibbs,1,0.25
57183,1,CharlieGibbs,1,0.25
57184,1,CharlieGibbs,1,0.25
57185,1,CharlieGibbs,1,0.25
57186,1,CharlieGibbs,1,0.25
57187,1,CharlieGibbs,0,0
57188,2,CharlieGibbs,0,0
57895,2,CharlieGibbs,0,0
57896,1,CharlieGibbs,0,0
57897,1,CharlieGibbs,0.999999998,0.249999999
57898,1,CharlieGibbs,1,0.25
57899,1,CharlieGibbs,1,0.25
57900,1,CharlieGibbs,1,0.25
57901,1,CharlieGibbs,1,0.25
57902,1,CharlieGibbs,1,0.25
57903,1,CharlieGibbs,1,0.25
57904,1,CharlieGibbs,1,0.25
57905,1,CharlieGibbs,1,0.25
57906,1,CharlieGibbs,1,0.25
57907,1,CharlieGibbs,0,0
57908,2,CharlieGibbs,0,0
58615,2,CharlieGibbs,0,0
58616,1,CharlieGibbs,0,0
58617,1,CharlieGibbs,0.999999998,0.249999999
58618,1,CharlieGibbs,1,0.25
58619,1,CharlieGibbs,1,0.25
58620,1,CharlieGibbs,1,0.25
58621,1,CharlieGibbs,1,0.25
58622,1,CharlieGibbs,1,0.25
58623,1,CharlieGibbs,1,0.25
58624,1,CharlieGibbs,1,0.25
58625,1,CharlieGibbs,1,0.25
58626,1,CharlieGibbs,1,0.25
58627,1,CharlieGibbs,0,0
58628,2,CharlieGibbs,0,0
59335,2,CharlieGibbs,0,0
59336,1,CharlieGibbs,0,0
59337,1,CharlieGibbs,0,0
59338,1,CharlieGibbs,0,0
59339,1,CharlieGibbs,0,0
59340,1,CharlieGibbs,0,0
59341,1,CharlieGibbs,0,0
59342,1,CharlieGibbs,0,0
59343,1,CharlieGibbs,0,0
59344,1,CharlieGibbs,0,0
59345,1,CharlieGibbs,0,0
59346,1,CharlieGibbs,0,0
59347,1,CharlieGibbs,0,0
59348,2,CharlieGibbs,0,0
60055,2,CharlieGibbs,0,0
60056,2,CharlieGibbs,0,0
60057,2,CharlieGibbs,0,0
60058,2,CharlieGibbs,0,0
60059,2,CharlieGibbs,0,0
60060,2,CharlieGibbs,0,0
60061,2,CharlieGibbs,0,0
60062,2,CharlieGibbs,0,0
60063,2,CharlieGibbs,0,0
60064,2,CharlieGibbs,0,0
60065,2,CharlieGibbs,0,0
60066,2,CharlieGibbs,0,0
60067,2,CharlieGibbs,0,0
60068,2,CharlieGibbs,0,0
112946,2,Palau,0,0
112947,2,Palau,0,0
112948,2,Palau,0,0
112949,2,Palau,0,0
112950,2,Palau,0,0
112951,2,Palau,0,0
112952,2,Palau,0,0
113664,2,Palau,0,0
113665,2,Palau,0,0
113666,2,Palau,0,0
113667,1,Palau,0.20354827,0.050887068
113668,1,Palau,0.588817284,0.147204321
113669,1,Palau,0.808037289,0.202009322
113670,1,Palau,0.875149443,0.218787361
113671,1,Palau,0.581945231,0.145486308
113672,2,Palau,0,0
113673,2,Palau,0,0
114383,2,Palau,0,0
114384,2,Palau,0,0
114385,1,Palau,0.027040002,0.00676
114386,1,Palau,0.604556914,0.151139228
114387,1,Palau,0.99700133,0.249250333
114388,1,Palau,1,0.25
114389,1,Palau,1,0.25
114390,1,Palau,1,0.25
