"taxon_key","scientific_name","common_name","phylum","sub_phylum","super_class","class","super_order","order","suborder_infraorder","family","genus","species","comments_names","is_retired","taxon_group_id","taxon_level_id","functional_group_id","commercial_group_id","commercial","isscaap_id","cell_id","super_target","fb_spec_code","slb_spec_code","cla_code","ord_code","fam_code","gen_code","spe_code","slb_cla_code","slb_ord_code","slb_fam_code","slb_gen_code","is_use","is_taxa_used","is_mariculture_only","is_baltic_only","sl_max","slbl_max_type","sl_max_2","comments_sl_max","tl","se_tl","comments_tl","lat_north","lat_south","min_depth","max_depth","loo","woo","k","a","b","comments_growth","has_habitat_index","has_map","map_year","vulnerability","resilience","updated_by","date_updated","lineage","true_min_depth","true_max_depth"
616720,"Symbolophorus barnardi","Barnards lanternfish","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Myctophiformes","NA","Myctophidae","Symbolophorus","barnardi","",f,1,6,7,12,2,34,1798,3,16720,,6,40,167,7292,16720,,,,,f,f,f,f,12,"",,"",3.1,0.3,"",-11,-40,0,9999,11.6,17,0.37,0.01,3.04,"SLmax from Estimates table; SLinf from SLmax of Estimates table; K from Estimates table.",t,t,,"32.92","Medium","Deng","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Myctophiformes.NA.Myctophidae.Symbolophorus.Barnardi","",""
600025,"Gadiculus argenteus thori","Silvery pout","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Gadiformes","NA","Gadidae","Gadiculus","argenteus thori","",f,1,6,1,5,2,32,445,1,25,,6,44,183,1810,25,,,,,f,f,f,f,12,"",,"",3.51,0.5,"",72,43,0,9999,12.3,19,0.77,0.01,3.08,"SLmax from Estimates table; SLinf from SLmax of Estimates table; K from Estimates table.",t,f,,"15.83","High","Deng","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Gadiformes.NA.Gadidae.Gadiculus.ArgenteusThori","",""
651607,"Maurolicus walvisensis","Maurolicus walvisensis","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Stomiiformes","NA","Sternoptychidae","Maurolicus","walvisensis","",f,1,6,7,12,,,,,51607,,6,37,89,4942,51607,,,,,,,,f,4.7,"",,"",4.7,,"",-25,-45,0,9999,,,,,,"",t,f,,"14.21","","Sarah","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Stomiiformes.NA.Sternoptychidae.Maurolicus.Walvisensis","",""
600015,"Epinephelus guttatus","Red hind","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Perciformes","NA","Serranidae","Epinephelus","guttatus","",f,1,6,17,3,1,33,440,3,15,,6,60,289,7755,15,,,,,f,t,t,f,62,"",,"",3.84,0.26,"",35,5,2,100,62.32,3278,0.15,0.01,3.04,"SLmax from Estimates table; SLinf from SLmax of Estimates table; K from Estimates table.",t,f,,"61.18","Medium","Deng","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Perciformes.NA.Serranidae.Epinephelus.Guttatus","",""
600344,"Channa micropeltes","Indonesian snakehead","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Perciformes","NA","Channidae","Channa","micropeltes","",f,1,6,15,3,2,13,648,3,344,,6,60,431,7138,344,,,,,f,f,t,f,130,"",86,"",3.85,0.55,"",10,1,100,150,130,,0.13,,,"SLmax_old; SLinf from SLmax of Estimates table; K from Estimates table.",t,f,,"71.01","Low","Deng","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Perciformes.NA.Channidae.Channa.Micropeltes","",""
612128,"Niphon spinosus","Ara","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Perciformes","NA","Serranidae","Niphon","spinosus","",f,1,6,5,3,2,33,1753,3,12128,,6,60,289,7236,12128,,,,,f,f,f,f,82,"",,"",4.5,0.8,"",45,4,100,200,82,,0.12,,,"SLmax_old; SLinf from SLmax of Estimates table; K from Estimates table.",t,t,,"63.07","Very low","Deng","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Perciformes.NA.Serranidae.Niphon.Spinosus","",""
609891,"Pristigenys meyeri","Baga","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Perciformes","NA","Priacanthidae","Pristigenys","meyeri","",f,1,6,16,3,2,33,1734,3,9891,,6,60,303,6632,9891,,,,,f,f,f,f,22,"",,"",3.85,0.23,"",35,-30,100,200,22.5,204,0.81,0.02,3.01,"SLmax from Estimates table; SLinf from SLmax of Estimates table; K from Estimates table.",t,t,,"18.4","High","Deng","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Perciformes.NA.Priacanthidae.Pristigenys.Meyeri","",""
601940,"Decapterus kurroides","Redtail scad","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Perciformes","NA","Carangidae","Decapterus","kurroides","",f,1,6,17,3,,37,,,1940,,6,60,314,10590,1940,,,,,,,,f,37.845,"",,"",6,,"",38,-26,100,300,,,,,,"",t,f,,"24.9","High","","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Perciformes.NA.Carangidae.Decapterus.Kurroides","",""
509274,"Torpedo","Torpedoes","Chordata","Vertebrata","Chondrichthyes","Elasmobranchii","Batoidea","Torpediniformes","NA","Torpedinidae","Torpedo","","",f,1,5,21,9,2,38,365,4,,,4,13,18,5423,,,,,,f,f,f,f,80,"",,"",4.5,0.3,"",90,-90,10,530,,,,,,"",t,f,,"","","","2018-10-09","Chordata.Vertebrata.Chondrichthyes.Elasmobranchii.Batoidea.Torpediniformes.NA.Torpedinidae.Torpedo","",""
600191,"Paracaesio kusakarii","Saddle-back snapper","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Perciformes","NA","Lutjanidae","Paracaesio","kusakarii","",f,1,6,5,3,1,33,543,3,191,,6,60,323,6493,191,,,,,f,t,f,f,60,"",,"",4.01,0.66,"",32,-26,100,310,60,3530,0.19,0.01,3.03,"SLmax_old; SLinf from SLmax of Estimates table; K from Estimates table.",t,t,,"45.68","Medium","Deng","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Perciformes.NA.Lutjanidae.Paracaesio.Kusakarii","",""
