MPA,MPA_Name,cg_name,time_period,Data_Type,RCP,Model,sector_type_id,total_sum,baseline_sum,delta_mean,sector_name,eez_name,baseline_importance
BeringSea,Bering Sea,"Salmon, smelts, etc",Today,Abd,85,MPA,4,575233.3489790943,575233.3489790943,0,Recreational,Alaska,41.029835465489604
BeringSea,Bering Sea,"Salmon, smelts, etc",Today,Catch,85,MPA,2,4110.346966438382,4110.346966438382,0,Subsistence,Alaska,NA
BeringSea,Bering Sea,"Salmon, smelts, etc",Today,Catch,85,MPA,3,4110.102684529271,4110.102684529271,0,Artisanal,Alaska,NA
BeringSea,Bering Sea,"Salmon, smelts, etc",Today,Catch,85,MPA,4,4110.102684529271,4110.102684529271,0,Recreational,Alaska,NA
BeringSea,Bering Sea,"Salmon, smelts, etc",Today,nonuse_value,85,MPA,2,854885300.3205211,854885300.3205211,0,Subsistence,Alaska,NA
BeringSea,Bering Sea,"Salmon, smelts, etc",Today,nonuse_value,85,MPA,3,854853876.499794,854853876.499794,0,Artisanal,Alaska,NA
BeringSea,Bering Sea,"Salmon, smelts, etc",Today,nonuse_value,85,MPA,4,854853876.499794,854853876.499794,0,Recreational,Alaska,NA
BeringSea,Bering Sea,"Salmon, smelts, etc",Today,revenue,85,MPA,2,5715795.507407493,5715795.507407493,0,Subsistence,Alaska,75.20528260664587
BeringSea,Bering Sea,"Salmon, smelts, etc",Today,revenue,85,MPA,3,5715387.879819674,5715387.879819674,0,Artisanal,Alaska,31.956857746381296
BeringSea,Bering Sea,"Salmon, smelts, etc",Today,revenue,85,MPA,4,5715387.879819674,5715387.879819674,0,Recreational,Alaska,20.28999324739154
GreatBarrierReef,Great Barrier Reef,Crustaceans,End of Century,Abd,85,MPA,1,5413.475276756206,6211.581108943321,-12.84867440655354,Industrial,Australia,37.802324974580735
GreatBarrierReef,Great Barrier Reef,Crustaceans,End of Century,Abd,85,MPA,3,2196.525390791776,2141.5427586986784,2.567430973290861,Artisanal,Australia,16.338698462588845
GreatBarrierReef,Great Barrier Reef,Crustaceans,End of Century,Catch,85,MPA,1,332.74410103887095,383.0191038275384,-13.125977865402955,Industrial,Australia,NA
