taxon_key,scientific_name,common_name,functional_group_id,commercial_group_id,fg_name,cg_name
600650,Centrophorus lusitanicus,Lowfin gulper shark,20,9,Large sharks (>=90 cm),Sharks & rays
607138,Macrourus holotrachys,Bigeye grenadier,14,5,Medium benthopelagics (30 - 89 cm),Cod-likes
600683,Etmopterus princeps,Great lanternshark,19,9,Small to medium sharks (<90 cm),Sharks & rays
6926800,Callinectes bellicosus,warrior swimcrab,1,1,Small pelagics (<30 cm),Anchovies
605098,Borostomias antarcticus,Snaggletooth,8,12,Medium bathypelagics (30 - 89 cm),Other fishes & inverts
601279,Trachurus picturatus,Blue jack mackerel,14,3,Medium benthopelagics (30 - 89 cm),Perch-likes
600302,Conger myriaster,Whitespotted conger,5,12,Medium demersals (30 - 89 cm),Other fishes & inverts
602005,Antimora rostrata,Blue antimora,8,5,Medium bathypelagics (30 - 89 cm),Cod-likes
690325,Paralomis aculeata,Red stone crab,27,10,"Lobsters, crabs",Crustaceans
600230,Alepocephalus bairdii,Baird's slickhead,12,6,Large bathydemersals (>=90 cm),"Salmon, smelts, etc"
607117,Paradiplospinus gracilis,Slender escolar,14,3,Medium benthopelagics (30 - 89 cm),Perch-likes
604556,Trachyrincus scabrus,Roughsnout grenadier,8,5,Medium bathypelagics (30 - 89 cm),Cod-likes
690274,Meganyctiphanes norvegica,Norwegian krill,30,10,Krill,Crustaceans
601829,Steindachneria argentea,Luminous hake,18,5,Large reef assoc. fish (>=90 cm),Cod-likes
661362,Helicolenus mouchezi,Helicolenus mouchezi,11,8,Medium bathydemersals (30 - 89 cm),Scorpionfishes
607141,Echiodon cryomargarites,Messmate,11,12,Medium bathydemersals (30 - 89 cm),Other fishes & inverts
607151,Pseudocyttus maculatus,Smooth oreo dory,14,12,Medium benthopelagics (30 - 89 cm),Other fishes & inverts
607139,Macrourus whitsoni,Whitson's grenadier,8,5,Medium bathypelagics (30 - 89 cm),Cod-likes
605765,Apogon guamensis,Guam cardinalfish,16,3,Small reef assoc. fish (<30 cm),Perch-likes
607082,Pogonophryne permitini,Plunderfish,10,3,Small bathydemersals (<30 cm),Perch-likes
606598,Hexagrammos otakii,Fat grrenling,1,1,Small pelagics (<30 cm),Anchovies
601734,Mora moro,Common mora,8,5,Medium bathypelagics (30 - 89 cm),Cod-likes
602012,Halargyreus johnsonii,Slender codling,8,5,Medium bathypelagics (30 - 89 cm),Cod-likes
604491,Myctophum spinosum,Spiny lantern fish,7,12,Small bathypelagics (<30 cm),Other fishes & inverts
600808,Galeus murinus,Mouse catshark,19,9,Small to medium sharks (<90 cm),Sharks & rays
665976,Somniosus antarcticus,Southern sleeper shark,20,9,Large sharks (>=90 cm),Sharks & rays
607136,Cynomacrurus piriei,Dogtooth grenadier,8,5,Medium bathypelagics (30 - 89 cm),Cod-likes
609005,Rhinochimaera atlantica,Straightnose rabbitfish,22,9,Large rays (>=90 cm),Sharks & rays
607108,Chionobathyscus dewitti,Chionobathyscus dewitti,11,3,Medium bathydemersals (30 - 89 cm),Perch-likes
606974,Benthalbella elongata,Benthalbella elongata,8,12,Medium bathypelagics (30 - 89 cm),Other fishes & inverts
612962,Allocyttus niger,Black oreo,8,12,Medium bathypelagics (30 - 89 cm),Other fishes & inverts
657505,Bathyraja irrasa,Kerguelen sandpaper skate,22,9,Large rays (>=90 cm),Sharks & rays
600671,Deania hystricosa,Rough longnose dogfish,19,9,Small to medium sharks (<90 cm),Sharks & rays
6926798,Callinectes marginatus,marbled swimcrab,1,1,Small pelagics (<30 cm),Anchovies
609171,Alepocephalus agassizii,Agassiz slickhead,11,6,Medium bathydemersals (30 - 89 cm),"Salmon, smelts, etc"
608936,Rajella bigelowi,Bigelows ray,21,9,Small to medium rays (<90 cm),Sharks & rays
611713,Congresox talabonoides,Indian pike conger,6,12,Large demersals (>=90 cm),Other fishes & inverts
608991,Spectrunculus grandis,Pudgy cuskeel,12,12,Large bathydemersals (>=90 cm),Other fishes & inverts
