area_data_key,taxon_key,fishing_entity_id,gear_id,time_key,year,area_key,eez_id,fao_id,data_layer_id,marine_layer_id,catch_type_id,catch_status,reporting_status_id,reporting_status,sector_type_id,end_use_type_id,score,catch_sum,real_value,primary_production_required,catch_trophic_level,catch_max_length,marine_layer_id_1,remarks,name,bread_crumb_name,show_sub_areas,last_report_year,eez_name,scientific_name,common_name,functional_group_id,commercial_group_id,fg_name,cg_name,sector_type
1069847,601909,7,400,66,2016,10,36,71,1,1,1,R,1,R,1,1,3,1.51309340243902,2.28716219280464,4569.46902382466,6.77865844292681,93.8117909512193,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Carangoides orthogrammus,Island trevally,2,3,Medium pelagics (30 - 89 cm),Perch-likes,Industrial
1069898,490011,7,800,65,2015,10,36,71,1,1,2,D,2,U,1,4,3,3.81288135605008,5589.68406796942,1517.93540831328,13.7263728817803,190.644067802504,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Sepiidae,Cuttlefishes,25,12,Cephalopods,Other fishes & inverts,Industrial
1069914,100039,7,302,62,2012,10,36,71,1,1,1,R,1,R,1,3,3,1.65e-4,0.0027262540734,0.0314401018463935,5.41199999999999e-4,0.00824999999999998,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Marine fishes not identified,Marine fishes nei,5,12,Medium demersals (30 - 89 cm),Other fishes & inverts,Industrial
1069917,200004,83,401,61,2011,10,36,71,3,1,2,D,2,U,1,4,1,0.354194561198793,519.24922671743,397.412834078432,1.43448797285511,66.9427720665719,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Elasmobranchii,"Sharks, rays, skates",20,9,Large sharks (>=90 cm),Sharks & rays,Industrial
1069952,608173,7,703,66,2016,10,36,71,1,1,1,R,2,U,2,1,1,0.0461413958822487,21.3049180253288,0.567663183956216,0.0964355173938998,2.90690794058167,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Girella tricuspidata,Parore,14,3,Medium benthopelagics (30 - 89 cm),Perch-likes,Subsistence
1069984,600868,213,401,63,2013,10,36,71,3,1,1,R,1,R,1,1,1,0.00232379052288499,3.4066769065494,7.51963873238767,0.0104802952582113,0.666927880067993,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Carcharhinus falciformis,Silky shark,20,9,Large sharks (>=90 cm),Sharks & rays,Industrial
1070032,600083,7,601,61,2011,10,36,71,1,1,1,R,1,R,3,1,3,0.015,2.24775e-4,19.323743275397,0.06165,1.335,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Aphareus rutilans,Rusty jobfish,17,3,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Artisanal
1070056,490040,7,800,63,2013,10,36,71,1,1,1,R,1,R,1,1,3,100.656506625747,86032.7894865291,7461.76992152396,288.884174015892,2617.06917226941,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Scyllaridae,Slipper lobsters,27,10,"Lobsters, crabs",Crustaceans,Industrial
1070076,500366,7,200,66,2016,10,36,71,1,1,1,R,1,R,1,1,3,12.8646031746031,1702.60366346671,8900.13090477252,49.400076190476,1003.43904761904,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Epinephelus,"Seabasses, hinds",17,3,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Industrial
1070096,600346,7,702,65,2015,10,36,71,1,1,1,R,2,U,4,1,2,2118.47203828133,7340801.20728527,4742668.13356637,9215.3533665238,343192.470201576,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Lates calcarifer,Barramundi,6,3,Large demersals (>=90 cm),Perch-likes,Recreational
